uri,genre,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/malory-morte-darthur/,Fiction,Le Morte d'Arthur,"Malory, Thomas",,,,,,1485,Book,FALSE,https://archive.org/details/mortedarthur02malo,,,7,7,0,1930;1932;1937;1938;1939,2021-11-14T13:57:51.282365+00:00
https://shakespeareandco.princeton.edu/books/more-utopia/,Fiction,Utopia,"More, Thomas",,,,,,1516,Book,FALSE,https://archive.org/details/utopiamo00more,,,2,2,0,1930;1950;1951,2021-10-31T17:47:49.103296+00:00
https://shakespeareandco.princeton.edu/books/norton-gorboduc/,Drama,Gorboduc,"Norton, Thomas",,,,,,1561,Book,FALSE,,,,1,1,0,1950,2020-06-29T03:49:47+00:00
https://shakespeareandco.princeton.edu/books/lyly-euphues-anatomy-wit/,Fiction,Euphues: The Anatomy of Wit,"Lyly, John",,,,,,1578,Book,FALSE,https://archive.org/details/cu31924013122084,,,1,1,0,1941,2021-06-05T15:37:07+00:00
https://shakespeareandco.princeton.edu/books/spenser-shepheards-calendar/,Poetry,The Shepheard's Calendar,"Spenser, Edmund",,,,,,1579,Book,FALSE,https://archive.org/details/shepheardscalend0000spen,,,1,1,0,1941,2021-11-06T12:26:04.482734+00:00
https://shakespeareandco.princeton.edu/books/lodge-rosalynde-novel/,Fiction,Rosalynde: A Novel,"Lodge, Thomas",,,,,,1590,Book,FALSE,https://archive.org/details/rosalynde00lodg,,,8,8,0,1939;1940;1941;1942,2021-11-07T18:38:23.667066+00:00
https://shakespeareandco.princeton.edu/books/greene-defence-conny-catching/,Nonfiction,The Defence of Conny-Catching,"Greene, Robert",,,,,,1592,Book,FALSE,,,,2,2,0,1939;1940,2020-04-30T19:40:17+00:00
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,Drama,A Midsummer's Night's Dream,"Shakespeare, William",,,,,,1595,Book,FALSE,https://archive.org/details/midsummernightsd03shak,,,1,1,0,1940,2021-11-15T05:37:25.730819+00:00
https://shakespeareandco.princeton.edu/books/sidney-apology-poetry/,Nonfiction,An Apology for Poetry,"Sidney, Philip",,,,,,1595,Book,FALSE,,,,2,2,0,1934,2020-04-30T19:40:14+00:00
https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/,Drama,Love's Labour's Lost,"Shakespeare, William",,,,,,1598,Book,FALSE,https://archive.org/details/loveslabourslost1901shak,,,1,1,0,1922,2021-10-26T03:07:33.750391+00:00
https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/,Nonfiction,The Advancement of Learning,"Bacon, Francis",,,,,,1605,Book,FALSE,https://archive.org/details/in.ernet.dli.2015.272672,,,1,1,0,1937,2021-01-17T22:37:22+00:00
https://shakespeareandco.princeton.edu/books/webster-white-devil/,Drama,The White Devil,"Webster, John",,,,,,1612,Book,FALSE,https://archive.org/details/whitedevilanddu01websgoog,,,1,1,0,1920;1919,2021-10-29T03:04:48.348811+00:00
https://shakespeareandco.princeton.edu/books/cervantes-don-quixote/,Fiction,Don Quixote,"Cervantes, Miguel de",,,,,,1615,Book,FALSE,,,,1,1,0,1929,2020-06-15T01:58:49+00:00
https://shakespeareandco.princeton.edu/books/burton-anatomy-melancholy/,Nonfiction,The Anatomy of Melancholy,"Burton, Robert",,,,,,1621,Book,FALSE,,,,1,0,0,1934,2020-04-30T19:40:17+00:00
https://shakespeareandco.princeton.edu/books/descartes-geometrie/,Fiction,La géométrie,"Descartes, René",,,,,,1637,Book,FALSE,,,,1,1,0,1928,2020-07-19T20:15:00+00:00
https://shakespeareandco.princeton.edu/books/browne-religio-medici/,Nonfiction,Religio Medici,"Browne, Thomas",,,,,,1643,Book,FALSE,https://archive.org/details/religiomedicioth00browiala/page/n10/mode/2up,1906 The Religio Medici &amp; Other Writings of Sir Thomas Browne;1922,"At least two editions of Religio Medici circulated in the lending library. Marie Boscq borrowed The Religio Medici and Other Writings of Sir Thomas Browne (Everyman's Library, 1906). Irene Wissotzky borrowed Religio Medici, edited by W. Murison (Pitt Press Series, Cambridge University Press, 1922).",5,5,0,1937;1939;1940;1941,2020-05-22T03:03:50+00:00
https://shakespeareandco.princeton.edu/books/browne-vulgar-errors-pseudodoxia/,Nonfiction,Vulgar Errors (Pseudodoxia Epidemica),"Browne, Thomas",,,,,,1646,Book,FALSE,https://archive.org/details/b22650337_0002,,,2,2,0,1939,2020-07-22T14:20:55+00:00
https://shakespeareandco.princeton.edu/books/hobbes-leviathan/,Nonfiction,Leviathan,"Hobbes, Thomas",,,,,,1651,Book,FALSE,https://archive.org/details/in.ernet.dli.2015.96315,,,2,2,0,1938,2021-07-20T01:32:11+00:00
https://shakespeareandco.princeton.edu/books/greville-sir-fulke-grevilles/,Nonfiction,Sir Fulke Greville's Life of Sir Philip Sidney,"Greville, Fulke",,,,,,1652,Book,FALSE,https://archive.org/details/sirfulkegreville00grevrich,,,1,1,0,1937,2021-11-06T01:25:30.634944+00:00
https://shakespeareandco.princeton.edu/books/julian-revelations-divine-love/,Nonfiction,Revelations of Divine Love,"Julian, of Norwich",,,,,,1670,Book,FALSE,https://archive.org/details/revelationsofdiv0000juli_q7m8/page/n7/mode/2up,,,1,1,0,1938,2021-11-08T05:32:36.018321+00:00
https://shakespeareandco.princeton.edu/books/bunyan-pilgrims-progress/,Fiction,The Pilgrim's Progress,"Bunyan, John",,,,,,1678,Book,FALSE,https://archive.org/details/pilgrimsprogress04buny,,,3,3,0,1936;1938;1939,2021-11-09T21:45:53.900541+00:00
https://shakespeareandco.princeton.edu/books/butler-hudibras/,Poetry,Hudibras,"Butler, Samuel",,,,,,1684,Book,FALSE,https://archive.org/details/butlerhudibras00butl,2 vols.,,1,1,0,1938,2021-07-11T19:44:54+00:00
https://shakespeareandco.princeton.edu/books/swift-tale-tub/,Fiction,A Tale of a Tub,"Swift, Jonathan",,,,,,1704,Book,FALSE,https://archive.org/details/in.ernet.dli.2015.40202/page/n7/mode/2up,,,6,5,1,1924;1934;1938;1939;1941,2020-05-16T17:39:20+00:00
https://shakespeareandco.princeton.edu/books/pope-essay-criticism/,Poetry,An Essay on Criticism,"Pope, Alexander",,,,,,1711,Book,FALSE,https://archive.org/details/anessayoncritic00popegoog,,,2,2,0,1928;1936,2021-06-05T15:12:26+00:00
https://shakespeareandco.princeton.edu/books/pope-rape-lock/,Poetry,The Rape of the Lock,"Pope, Alexander",,,,,,1712,Book,FALSE,https://archive.org/details/rapelockandothe00popegoog,,,2,2,0,1920;1936,2021-11-08T14:12:28.591798+00:00
https://shakespeareandco.princeton.edu/books/defoe-robinson-crusoe/,Fiction,Robinson Crusoe,"Defoe, Daniel",,,,,,1719,Book,FALSE,https://archive.org/details/lifestrangeadven01defo/page/n9/mode/2up,,,3,3,0,1928;1938;1941,2020-06-02T14:53:01+00:00
https://shakespeareandco.princeton.edu/books/defoe-journal-plague-year/,Nonfiction,A Journal of the Plague Year,"Defoe, Daniel",,,,,,1722,Book,FALSE,https://archive.org/details/journalofplagu00defo/page/n5/mode/2up,,,2,2,0,1939;1941,2020-06-02T14:12:59+00:00
https://shakespeareandco.princeton.edu/books/defoe-moll-flanders/,Fiction,Moll Flanders,"Defoe, Daniel",,,,,,1722,Book,FALSE,https://archive.org/details/fortunesmisfortu0007defo/page/n11/mode/2up,,,15,14,1,1926;1927;1930;1934;1935;1936;1938;1939;1940;1942,2020-06-02T14:27:02+00:00
https://shakespeareandco.princeton.edu/books/defoe-moll-flanders-roxana/,Fiction,Moll Flanders and Roxana,"Defoe, Daniel",,,,,,1724,Book,FALSE,https://archive.org/details/fortunesandmisfo00defouoft/page/n3/mode/2up,,,2,2,0,1929;1924,2021-11-14T15:17:31.577477+00:00
https://shakespeareandco.princeton.edu/books/swift-gullivers-travels/,Fiction,Gulliver's Travels,"Swift, Jonathan",,,,,,1726,Book,FALSE,https://archive.org/details/gulliverstravels00swif/page/n7/mode/2up,,,6,4,1,1926;1929;1961;1938;1939,2020-05-16T17:35:43+00:00
https://shakespeareandco.princeton.edu/books/defoe-tour-england-wales/,Nonfiction,A Tour through England and Wales,"Defoe, Daniel",,,,,,1727,Book,FALSE,https://archive.org/details/in.ernet.dli.2015.79639,,,1,1,0,1938,2021-11-01T04:38:14.212338+00:00
https://shakespeareandco.princeton.edu/books/gay-beggars-opera/,Drama,The Beggar's Opera,"Gay, John",,,,,,1728,Book,FALSE,,,,2,2,0,1924;1934,2020-04-30T19:40:17+00:00
https://shakespeareandco.princeton.edu/books/richardson-pamela/,Fiction,Pamela,"Richardson, Samuel",,,,,,1740,Book,FALSE,https://archive.org/details/pamel00rich/page/n5/mode/2up,2 vols.,,6,5,0,1937;1938;1939;1941,2020-07-13T12:49:38+00:00
https://shakespeareandco.princeton.edu/books/richardson-familiar-letters-important/,Nonfiction,Familiar Letters on Important Occasions,"Richardson, Samuel",,,,,,1741,Book,FALSE,,,,2,1,0,1929,2020-04-30T19:40:19+00:00
