ID,name,sort name,birth year,death year,Has Account,Admin Link,VIAF id,Gender,Nationality,Birth Date,Death Date,Wikidata URL,Wikipedia URL
11088,Oscar Levy,"Levy, Oscar",,,False,/admin/people/person/11088/change/,http://viaf.org/viaf/100051291/,Male,Germany,1867.0,1946.0,https://www.wikidata.org/entity/Q101732#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Oscar_Levy
5823,T. E. Lawrence,"Lawrence, T. E.",1888.0,1935.0,False,/admin/people/person/5823/change/,http://viaf.org/viaf/100164858/,Male,United Kingdom,1888.0,1935.0,https://www.wikidata.org/entity/Q170596#sitelinks-wikipedia,https://en.wikipedia.org/wiki/T._E._Lawrence
610,Thornton Wilder,"Wilder, Thornton",1897.0,1975.0,True,/admin/people/person/610/change/,http://viaf.org/viaf/100167035,Male,United States,1897.0,1975.0,https://www.wikidata.org/entity/Q155087#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Thornton_Wilder
6458,Oliver Goldsmith,"Goldsmith, Oliver",1728.0,1774.0,False,/admin/people/person/6458/change/,http://viaf.org/viaf/100167171/,Male,United Kingdom,1730.0,1774.0,https://www.wikidata.org/entity/Q236236#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Oliver_Goldsmith
7767,Théodore Gosselin / G. Lenotre (pseudonym),"Lenotre, G.",1855.0,1935.0,False,/admin/people/person/7767/change/,http://viaf.org/viaf/100168737/,Male,France,1855.0,1935.0,https://www.wikidata.org/entity/Q3093059#sitelinks-wikipedia,https://en.wikipedia.org/wiki/ThŽodore_Gosselin
5505,Edmund Spenser,"Spenser, Edmund",1552.0,1599.0,False,/admin/people/person/5505/change/,http://viaf.org/viaf/100170015/,Male,United Kingdom,1552.0,1599.0,https://www.wikidata.org/entity/Q4352055#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Edmund_Spenser
7084,George Crabbe,"Crabbe, George",1754.0,1832.0,False,/admin/people/person/7084/change/,http://viaf.org/viaf/100175819/,Male,United Kingdom,1754.0,1832.0,https://www.wikidata.org/entity/Q903516#sitelinks-wikipedia,https://en.wikipedia.org/wiki/George_Crabbe
5888,Stephen Crane,"Crane, Stephen",1871.0,1900.0,False,/admin/people/person/5888/change/,http://viaf.org/viaf/100175928/,Male,United States,1871.0,1900.0,https://www.wikidata.org/entity/Q206534#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Stephen_Crane
6298,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques",1712.0,1778.0,False,/admin/people/person/6298/change/,http://viaf.org/viaf/100184045/,Male,France,1712.0,1778.0,https://www.wikidata.org/entity/Q6527#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Jean-Jacques_Rousseau
6304,Geoffrey Chaucer,"Chaucer, Geoffrey",1340.0,1400.0,False,/admin/people/person/6304/change/,http://viaf.org/viaf/100185203/,Male,United Kingdom,,,https://www.wikidata.org/entity/Q5683#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Geoffrey_Chaucer
6026,John Stuart Mill,"Mill, John Stuart",1806.0,1873.0,False,/admin/people/person/6026/change/,http://viaf.org/viaf/100189299/,Male,United Kingdom,1806.0,1873.0,https://www.wikidata.org/entity/Q50020#sitelinks-wikipedia,https://en.wikipedia.org/wiki/John_Stuart_Mill
8222,James Fitzmaurice-Kelly,"Fitzmaurice-Kelly, James",1858.0,1923.0,False,/admin/people/person/8222/change/,http://viaf.org/viaf/100190576/,Male,United Kingdom,1858.0,1923.0,https://www.wikidata.org/entity/Q935119#sitelinks-wikipedia,https://en.wikipedia.org/wiki/James_Fitzmaurice-Kelly
